canton,municipality,bfs_code,address,plz,buildingGroundArea_sqm,grossInvest_CHF,subsidies_CHF,netInvest_CHF,paybackTime_years,producedKwhYear_kWh,selfConsumedKwhYear_kWh,selfConsumptionPct_pct,gridFeedinKwhYear_kWh
VD,L'Abergement,5741,Rue du Grand Vailloud 6,1355,1314.99,14800.00,1324.00,10780.80,21.98,4306.93,925.94,21.50,3380.99
VD,L'Abergement,5741,Chemin des Petites Bordes 10,1355,148.55,40000.00,6811.00,26551.20,11.555,21389.60,2950.81,13.796,18438.79
VD,Treycovagnes,5931,L'Epine 7,1436,109.58,16900.00,1673.00,12181.60,18.699,5689.14,1168.84,20.55,4520.30
VD,Treycovagnes,5931,Route de Chamblon 13,1436,117.76,60500.00,12000.00,38800.00,8.542,41224.15,5854.36,14.201,35369.79
VD,Treycovagnes,5931,Champ-Murat 8,1436,214.00,72800.00,14331.00,46775.20,8.939,49457.05,5861.27,11.851,43595.78
VD,Treycovagnes,5931,Champ-Murat 2,1436,197.26,34500.00,5250.00,23400.00,12.178,17249.90,2808.80,16.283,14441.11
VD,Treycovagnes,5931,Champ-Murat 10,1436,231.12,83100.00,16302.00,53438.40,10.953,47652.48,5123.14,10.751,42529.35
VD,Treycovagnes,5931,Champ-Murat 12,1436,231.12,58500.00,11631.00,37495.20,9.065,38817.39,4795.45,12.354,34021.94
VD,Treycovagnes,5931,L'Epine 11,1436,108.39,46300.00,8572.00,30182.40,13.572,22593.68,2127.22,9.415,20466.46
VD,Treycovagnes,5931,L'Epine 12,1436,178.17,42600.00,7531.00,28055.20,10.682,25373.92,2831.41,11.159,22542.51
VD,Treycovagnes,5931,L'Epine 1,1436,140.52,40400.00,6927.00,26778.40,11.024,23048.67,2851.81,12.373,20196.85
VD,Treycovagnes,5931,L'Epine 11bis,1436,108.39,24200.00,2866.00,17067.20,17.493,9419.40,1279.46,13.583,8139.94
VD,Villars-Epeney,5935,Rue du Milieu 9a,1404,211.84,27700.00,3439.00,19408.80,16.774,11555.65,1301.79,11.265,10253.86
VD,Villars-Epeney,5935,Rue du Milieu 18,1404,152.69,42200.00,7423.00,27821.60,10.859,23646.00,3326.03,14.066,20319.97
VD,Villars-Epeney,5935,Chemin des Bois 8,1404,131.61,15000.00,1353.00,10917.60,21.43,4415.87,979.93,22.19,3435.95
VD,Villars-Epeney,5935,Chemin des Sillons 4,1404,103.86,31300.00,4350.00,21560.00,15.693,14068.05,1331.72,9.466,12736.33
VD,Villars-Epeney,5935,Chemin des Sillons 3,1404,135.89,17600.00,1788.00,12649.60,20.56,5515.91,1078.12,19.546,4437.79
VD,Villars-Epeney,5935,Rue du Milieu 11,1404,309.95,82800.00,16239.00,53248.80,9.505,53396.23,6179.48,11.573,47216.75
VD,Villars-Epeney,5935,Chemin des Sillons 2,1404,103.96,31500.00,4395.00,21684.00,15.665,14188.61,1333.89,9.401,12854.71
VD,Villars-Epeney,5935,Rue du Milieu 20,1404,500.47,17400.00,1753.00,12517.60,19.276,5711.98,1161.03,20.33,4550.94
VD,Villars-Epeney,5935,Chemin des Sillons 1,1404,155.13,17400.00,1753.00,12517.60,19.274,5712.58,1161.16,20.33,4551.42
VD,Villars-Epeney,5935,Rue du Milieu 16,1404,110.33,17100.00,1701.00,12319.20,18.977,5676.17,1169.19,20.60,4506.98
VD,Vallorbe,5764,Route de Premier 11,1337,91.78,22300.00,2557.00,15794.40,22.47,6993.16,951.38,13.604,6041.78
VD,Vallorbe,5764,Chemin des Champs du Bois 1,1337,113.56,17000.00,1680.00,12256.00,19.332,5585.76,1128.86,20.21,4456.90
VD,Vallorbe,5764,Route de Premier 8,1337,148.54,38500.00,6371.00,25703.20,11.782,20388.49,2775.25,13.612,17613.24
VD,Vallorbe,5764,Chemin des Champs du Bois 4,1337,154.67,31300.00,4328.00,21577.60,14.353,13658.66,2234.12,16.357,11424.54
VD,Vallorbe,5764,Route de Premier 5,1337,170.38,27700.00,3434.00,19412.80,17.135,11387.46,1254.22,11.014,10133.25
VD,Vallorbe,5764,Chemin des Champs du Bois 6,1337,134.88,34200.00,5170.00,23224.00,14.090,15063.78,2402.83,15.951,12660.95
VD,Vallorbe,5764,Chemin des Champs du Bois 9,1337,154.67,40500.00,6934.00,26852.80,11.708,21996.78,2642.37,12.013,19354.41
VD,Vallorbe,5764,Route de Premier 5a,1337,170.38,28000.00,3485.00,19612.00,17.318,11374.72,1266.08,11.131,10108.63
VD,Vallorbe,5764,Route de Premier 9,1337,127.63,41300.00,7165.00,27308.00,11.780,23724.35,1944.50,8.196,21779.85
VD,Vallorbe,5764,Chemin des Champs du Bois 10,1337,113.16,18800.00,1979.00,13456.80,21.78,5488.03,1139.10,20.76,4348.92
VD,Baulmes,5745,Rue du Theu 23,1446,368.65,14700.00,1318.00,10705.60,21.59,4322.40,943.54,21.83,3378.86
VD,Baulmes,5745,Rue du Theu 40,1446,359.17,17200.00,1716.00,12387.20,19.680,5554.18,1125.49,20.26,4428.69
VD,Baulmes,5745,Rue de la Gare 28,1446,143.25,28000.00,3486.00,19611.20,17.566,11242.81,1244.42,11.069,9998.39
VD,Baulmes,5745,Rue du Chemin Neuf 31,1446,368.65,14700.00,1318.00,10705.60,21.45,4345.86,949.96,21.86,3395.91
VD,Baulmes,5745,Rue du Theu 25,1446,368.65,12500.00,954.00,9236.80,27.77,3090.90,610.09,19.738,2480.81
VD,Baulmes,5745,Chemin des Planches 8,1446,93.93,17500.00,1770.00,12584.00,19.846,5570.79,1150.77,20.66,4420.02
VD,Baulmes,5745,Chemin des Planches 4,1446,89.86,16900.00,1675.00,12180.00,18.994,5628.41,1144.88,20.34,4483.53
VD,Baulmes,5745,Chemin des Planches 2,1446,114.80,16900.00,1675.00,12180.00,18.989,5629.33,1145.32,20.35,4484.01
VD,Baulmes,5745,Rue du Theu 38,1446,359.17,17200.00,1716.00,12387.20,19.464,5603.88,1138.74,20.32,4465.14
VD,Baulmes,5745,Chemin des Planches 6,1446,114.04,16900.00,1676.00,12179.20,18.832,5658.41,1159.69,20.49,4498.72
VD,Cronay,5910,Rue de la Condémine 12,1406,135.33,38200.00,6296.00,25523.20,12.230,20382.08,2263.97,11.108,18118.11
VD,Cronay,5910,Rue de la Baume 1,1406,369.41,175500.00,35355.00,112116.00,12.185,101666.73,4337.70,4.267,97329.03
VD,Cronay,5910,Rue de la Baume 2,1406,418.66,14900.00,1341.00,10847.20,21.37,4398.79,975.53,22.18,3423.26
VD,Cronay,5910,La Chavanne 1,1406,150.92,17500.00,1765.00,12588.00,19.527,5681.65,1153.47,20.30,4528.18
VD,Cronay,5910,Rue de la Baume 4,1406,153.10,208800.00,45520.00,130624.00,9.646,156834.87,1492.06,0.9514,155342.80
VD,Cronay,5910,Le Paudex 2,1406,155.07,65400.00,12933.00,41973.60,9.489,41188.13,5363.45,13.022,35824.67
VD,Cronay,5910,Rue du Grand-Borgeaud 12,1406,175.73,28100.00,3506.00,19675.20,17.027,11556.02,1304.27,11.287,10251.74
VD,Cronay,5910,Rue du Grand-Borgeaud 8,1406,365.26,17600.00,1783.00,12653.60,20.51,5535.15,1077.97,19.475,4457.18
VD,Cronay,5910,Rue du Collège 15,1406,556.27,27700.00,3440.00,19408.00,16.759,11581.38,1294.69,11.179,10286.69
VD,Ursins,5932,La Grange-des-Bois 1,1412,216.60,17900.00,1830.00,12856.00,19.947,5669.20,1170.19,20.64,4499.00
VD,Ursins,5932,Route de Pomy 13,1412,564.77,17500.00,1773.00,12581.60,19.429,5664.17,1178.28,20.80,4485.89
VD,Ursins,5932,Rue de l'Eglise 8,1412,104.85,23100.00,2688.00,16329.60,20.26,8052.20,1008.67,12.527,7043.53
VD,Ursins,5932,Chemin du Pré du Ru 6,1412,954.36,42300.00,7463.00,27869.60,12.043,24860.31,1389.61,5.590,23470.70
VD,Ursins,5932,Route d'Orzens 6,1412,101.82,41300.00,7175.00,27300.00,12.575,20185.06,2895.99,14.347,17289.07
VD,Ursins,5932,Route de Pomy 3,1412,514.17,81500.00,15999.00,52400.80,10.150,54137.76,3411.94,6.302,50725.83
VD,Ursins,5932,Rue des Fontaines 3,1412,780.70,162100.00,31269.00,104664.80,10.179,105658.21,7863.41,7.442,97794.80
VD,Ursins,5932,Chemin du Pré du Ru 2,1412,116.10,38400.00,6349.00,25640.80,11.148,21201.49,3011.81,14.206,18189.68
VD,Ursins,5932,Rue d'En Bussy 2,1412,195.86,81900.00,16059.00,52672.80,10.924,51699.90,2783.60,5.384,48916.30
VD,Ursins,5932,Route d'Orzens 1,1412,79.14,75800.00,14916.00,48707.20,10.578,42478.60,5991.01,14.104,36487.59
VD,Tévenon,5571,Chemin de la Faille 9,1423,80.79,39300.00,6614.00,26148.80,11.221,21723.63,2940.84,13.538,18782.79
VD,Tévenon,5571,Chemin de la Planche 10,1423,141.56,37600.00,6134.00,25172.80,11.526,20126.83,2891.12,14.365,17235.71
VD,Tévenon,5571,Chemin de la Faille 18,1423,87.81,35200.00,5431.00,23815.20,13.141,17773.39,1978.01,11.129,15795.38
VD,Tévenon,5571,Chemin de la Faille 14,1423,107.42,35900.00,5630.00,24216.00,14.061,18125.63,1337.95,7.382,16787.68
VD,Tévenon,5571,Chemin de la Faille 12,1423,122.19,87900.00,17199.00,56560.80,9.677,53884.56,7392.79,13.720,46491.77
VD,Tévenon,5571,Chemin de la Faille 13,1423,95.09,16900.00,1670.00,12184.00,19.119,5599.99,1137.10,20.31,4462.89
VD,Tévenon,5571,Chemin de la Planche 12,1423,120.72,35300.00,5471.00,23863.20,13.904,18040.47,1332.13,7.384,16708.34
