canton,municipality,bfs_code,address,plz,egid
ZH,Bauma,297,Wolfsbergstrasse 52,8494,191965531
ZH,Bauma,297,Kohltobelstrasse 12,8499,201030583
ZH,Bauma,297,Aeberliswaldstrasse 26,8499,89919
ZH,Bauma,297,Aeberliswaldstrasse 25,8499,89917
ZH,Bauma,297,Hinterbergstrasse 9,8499,89822
ZH,Bauma,297,Mattstrasse 20,8499,89819
ZH,Grüningen,116,Itziker Dorfwisen 25,8627,210194782
ZH,Grüningen,116,auf der Bürglen 38,8627,43291
ZH,Grüningen,116,Itziker Dorf-Str. 62,8627,3018313
ZH,Grüningen,116,auf der Bürglen 30b,8627,2279181
ZH,Grüningen,116,Itziker Dorf-Str. 60,8627,3018316
ZH,Grüningen,116,auf der Bürglen 30a,8627,2279183
ZH,Grüningen,116,Itziker Dorfwisen 1,8627,210189869
ZH,Grüningen,116,auf der Bürglen 25,8627,43285
ZH,Grüningen,116,auf der Bürglen 36,8627,43290
ZH,Grüningen,116,Itziker Dorf-Str. 57,8627,43346
ZH,Fehraltorf,172,In der Halden 418,8320,83305
ZH,Fehraltorf,172,Ziegelhütte 1,8320,83299
ZH,Fehraltorf,172,Am Bort 8,8320,200294079
ZH,Fehraltorf,172,Tisliacherstrasse 17,8320,83558
ZH,Fehraltorf,172,Tisliacherstrasse 19,8320,83559
ZH,Fehraltorf,172,Im Feldacher 2,8320,200294137
ZH,Fehraltorf,172,Im Feldacher 8,8320,201001352
ZH,Fehraltorf,172,Am Bort 10,8320,200294080
ZH,Fehraltorf,172,Am Bort 14,8320,200294083
ZH,Fehraltorf,172,Im Feldacher 4,8320,201001349
ZH,Wetzikon (ZH),121,Grossensteinstrasse 58,8620,210217907
ZH,Wetzikon (ZH),121,Frohbergstrasse 87,8620,51147
ZH,Wetzikon (ZH),121,Bertschikerstrasse 19b,8620,51218
ZH,Wetzikon (ZH),121,Grossensteinstrasse 29,8620,51247
